"","fp","pp","w"
"1"," Châteaumeillant","Alcolea del Río","1"
"2","Aachen","Itálica","1"
"3","Abbeville, environs","Doña Mencía","1"
"4","Abergavenny","Alcolea del Río","1"
"5","Acs-Vaspuszta","Haza del Olivo","1"
"6","Adelange","La Catria","1"
"7","Aiguillon","Arva","1"
"8","Alcalá del Río","Alcala del Río","1"
"9","Alghero","Las Delicias","1"
"10","Altkirch","huerta del río","1"
"11","Andard","La Catria","1"
"12","Annecy","Casa de Mingaobez","1"
"13","Antioch","Azanaque-Castillejo","1"
"14","Arbon","Villar Tesoro","1"
"15","Argentona","Azanaque-Castillejo","1"
"16","Arlempdes","Guadajoz","1"
"17","Astaffort","La Catria","1"
"18","Auerberg","Doña Mencía","1"
"19","Autun","Casa de Mingaobez","1"
"20","Baden-Baden","La Catria","1"
"21","Bambiderstroff","Las Valbuenas","1"
"22","Beckfoot","Arva","1"
"23","Bern","Itálica","1"
"24","Boscoreale","Las Delicias","1"
"25","Bourdeaux","Sevilla","1"
"26","Branston","Azanaque-Castillejo","1"
"27","Brive","Sevilla","1"
"28","Broughton","Manuel Nieto","1"
"29","Burghöfe","Alcolea del Río","1"
"30","Bury Saint Edmunds","La Catria","1"
"31","Caerphilly","La Catria","1"
"32","Calella","Itálica","1"
"33","Calpe","Malpica","1"
"34","Cambrai","huerta del río","1"
"35","Cap Corse","La Umbría de Moratalla","1"
"36","Capestang","Casa de Mingaobez (Este)","1"
"37","Carcassonne","El Temple","1"
"38","Castor","Las Delicias","1"
"39","Caudebec-en-Caux","Malpica","1"
"40","Cavalaire","La Catria","1"
"41","Chelmsford","Malpica Sur","1"
"42","Civitavecchia","Casa de Mingaobez (Este)","1"
"43","Corfe Mullen","Berro II","1"
"44","Coria del Río","Alcolea del Río","1"
"45","Cosa","Arva","1"
"46","Dalswinton","Malpica","1"
"47","Dampierre-en-Burly","Villar de Brenes","1"
"48","Derby","Villar de Brenes","1"
"49","Durhamshire","Alcolea del Río","1"
"50","Eincheville","huerta del río","1"
"51","Eining","Itálica","1"
"52","Eisenberg","Arva","1"
"53","Elne","La Catria","1"
"54","Ensch","Alcolea del Río","1"
"55","Ergnies","Juan Barba","1"
"56","Erice","La Catria","1"
"57","Étangs de Villepey","Arva","1"
"58","Etaples","Arva","1"
"59","Exning","Las Delicias","1"
"60","Eye","huerta del río","1"
"61","Faimingen","La Catria","1"
"62","Fellbach","El Tejarillo","1"
"63","Fishtoft","Azanaque-Castillejo","1"
"64","Fliessem","El Marchante","1"
"65","Forbach","Cerro de Arriza","1"
"66","Fort Vechten","El Marchante","1"
"67","Freisen","Alcolea del Río","1"
"68","Gelligaer","La Catria","1"
"69","Gheriat El-Garbia","El Judío","1"
"70","Gilsland","La Catria","1"
"71","Godmanchester","Villar de Brenes","1"
"72","Grantham","Itálica","1"
"73","Great Dunmow","Tarancón","1"
"74","Gremecey","Tierras del Judío","1"
"75","Groß-Umstadt","La Graja","1"
"76","Grostenquin","Las Delicias","1"
"77","Gruissan","Tierras del Judío","1"
"78","Habsheim","Malpica Sur","1"
"79","Hammamet","La Catria","1"
"80","Harfleur","Isla del Castillo","1"
"81","Haute-Goulaine","Itálica","1"
"82","Hengistbury Head","Cortijo del Romero","1"
"83","Heptonstall","Casa de Mingaobez","1"
"84","Hettange-Grande","Cerro de los Pesebres","1"
"85","Heuqueville","Villar de Brenes","1"
"86","Hexham","Alcolea del Río","1"
"87","Holt","huerta del río","1"
"88","Holybourne","Las Delicias","1"
"89","Honfleur","La Catria","1"
"90","Horbourg","Peñaflor","1"
"91","Hüchelhoven","Las Sesenta","1"
"92","Iles de Lerins (baie de Cannes)","Itálica","1"
"93","Kösching","Las Sesenta","1"
"94","La Franqui","Cortijo del Romero","1"
"95","La Guerche-sur-Aubois","Las Sesenta","1"
"96","Le Crotoy","Malpica Sur","1"
"97","Lectoure","Sevilla","1"
"98","Lelling","Malpica Sur","1"
"99","Les Andelys","Itálica","1"
"100","Les Rues des Vignes","Arva","1"
"101","Levroux","Las Sesenta","1"
"102","Lezhë","El Temple","1"
"103","Lezoux","La Catria","1"
"104","Libourne","Alcolea del Río","1"
"105","Liffol-le-Grand","Arva","1"
"106","Lison","Itálica","1"
"107","Liverpool","Las Sesenta","1"
"108","Llantwit Major","Castillo de Azanaque","1"
"109","Lunel-Viel","Dehesilla","1"
"110","Magalas","Huerta de Belén","1"
"111","Mailhac","Peñaflor","1"
"112","Malton","Itálica","1"
"113","Mannheim","Las Sesenta","1"
"114","Manta Rota","Cortijo del Romero","1"
"115","Maraussan","Alcolea del Río","1"
"116","Marseille","Malpica","1"
"117","Mèze","Las Delicias","1"
"118","Miltenberg","Malpica","1"
"119","Moers","El Mohino","1"
"120","Montayral","Alcolea del Río","1"
"121","Montbazin","Las Delicias","1"
"122","Morienval","Itálica","1"
"123","Naix-aux-forges","Casa de Mingaobez","1"
"124","Neuhausen auf den Fildern","El Tejarillo","1"
"125","Newport","Las Delicias","1"
"126","Nîmes","Arva","1"
"127","Northwich","La Mallena","1"
"128","Norton Disney","Las Delicias","1"
"129","Olten","La Catria","1"
"130","Ospringe","Itálica","1"
"131","Palau-del-Vidre","La Mallena","1"
"132","Passau","Arva","1"
"133","Penrith","Alcolea del Río","1"
"134","Périgueux","Los Villares","1"
"135","Petronell (Carnuntum)","Arva","1"
"136","Piercebridge","Las Delicias","1"
"137","Pomérols","El Pinzón","1"
"138","Porto Conte","Itálica","1"
"139","Puget-sur-Argens","Dehesa de Arriba","1"
"140","Rebecques","Cerro de los Pesebres","1"
"141","Rheinzabern","La Catria","1"
"142","Rocester","La Catria","1"
"143","Rosbach von der Höhe","Arva","1"
"144","Rubí","Dehesa de Arriba","1"
"145","Rudston","Las Delicias","1"
"146","Sabadell","Malpica","1"
"147","Sagunto","Arva","1"
"148","Saint-Gilles-du-Gard","La Catria","1"
"149","Saint-Satur","El Marchante","1"
"150","Sainte Catherine","Cerro de los Pesebres","1"
"151","Sainte-Bazeille","La Graja","1"
"152","Salchenried","El Judío","1"
"153","Salisbury","La Catria","1"
"154","San Fernando (Cádiz)","Azanaque-Castillejo","1"
"155","San Juan Despí","Arva","1"
"156","San Luis","Las Delicias","1"
"157","San Potito","Cerro de los Pesebres","1"
"158","Sancerre","Berro II","1"
"159","Sant Boi de Llobregat","Las Delicias","1"
"160","Sarre-Union","Villar de Brenes","1"
"161","Sarrebourg","Malpica","1"
"162","Schleitheim","Casa de Mingaobez","1"
"163","Schwaigern","Malpica","1"
"164","Scole","Arva","1"
"165","Seengen","Cerro de los Pesebres","1"
"166","Selby","Las Delicias","1"
"167","Sicilia","La Catria","1"
"168","Sitges","Cortijo del Romero","1"
"169","Sorcy","Itálica","1"
"170","Souk-el-Arba","Arva","1"
"171","Southend","Las Delicias","1"
"172","Speyer","Villar de Brenes","1"
"173","St.Genies","huerta del río","1"
"174","Stanwix","Alcolea del Río","1"
"175","Steene","Malpica Sur","1"
"176","Stettfeld","Peñaflor","1"
"177","Stoke Prior","Malpica","1"
"178","Tác","Mejía","1"
"179","Terrassa","Azanaque-Castillejo","1"
"180","Theilenhofen","Villaseca","1"
"181","Thérouanne","Malpica","1"
"182","Toft Newton","Las Delicias","1"
"183","Trôo","Las Delicias","1"
"184","Umbria","La Catria","1"
"185","Ungersheim","Malpica","1"
"186","Usk","Alcolea del Río","1"
"187","Valencia","Cortijo del Romero","1"
"188","Valras-Plage","huerta del río","1"
"189","Vendres","La Catria","1"
"190","Vercelli","Peñaflor","1"
"191","Vicenza","La Catria","1"
"192","Vichy","Alcolea del Río","1"
"193","Viladamat","huerta del río","1"
"194","Villeneuve-sur-Lot","Arva","1"
"195","Vorey","Arva","1"
"196","Wasserbillig","Itálica","1"
"197","Welzheim","La Catria","1"
"198","West Woodburn","Arva","1"
"199","Westmill","La Catria","1"
"200","winterthur","La Catria","1"
"201","Winterton","Itálica","1"
"202","Witham","Malpica","1"
"203","Zofingen","Casa de Mingaobez","1"
"204","Adenau","Azanaque-Castillejo","1"
"205","Adenau","Itálica","1"
