Source,Target
Casa del Guarda o Llano,Las Delicias
Casa del Guarda o Llano,El Pinzón
Casa del Guarda o Llano,Castillo de Almodóvar
Casa del Guarda o Llano,Cortijo de Paladés (Este) (Cortijo de Sotomayor)
Casa del Guarda o Llano,Arva
Casa del Guarda o Llano,Lora la Vieja
Casa del Guarda o Llano,Barranco del Picacho
Casa del Guarda o Llano,Álamo Alto
Casa del Guarda o Llano,El Tesoro
Casa del Guarda o Llano,La Ramblilla
Casa del Guarda o Llano,La Reina
Casa del Guarda o Llano,La Botica
Casa del Guarda o Llano,Doña Mencía
Casa del Guarda o Llano,Huerta de Belén
Casa del Guarda o Llano,Dehesa de Arriba
Casa del Guarda o Llano,Madueño
Casa del Guarda o Llano,Cerro de los Pesebres
Casa del Guarda o Llano,El Tejarillo
Casa del Guarda o Llano,El Mohino
Casa del Guarda o Llano,Madre Vieja II
Casa del Guarda o Llano,Dehesilla
Casa del Guarda o Llano,Cerro de los Vuelos
Casa del Guarda o Llano,La Graja
Casa del Guarda o Llano,La Catria Alta
Casa del Guarda o Llano,Azanaque-Castillejo
Casa del Guarda o Llano,Tarancón
Casa del Guarda o Llano,Alcotrista
Casa del Guarda o Llano,Cortijo de San José (Norte)
Casa del Guarda o Llano,Malpica Sur
Casa del Guarda o Llano,Casablanca Oeste
Casa del Guarda o Llano,Adelfa
Casa del Guarda o Llano,El Marchante
Casa del Guarda o Llano,La María
Casa del Guarda o Llano,Villacisneros
Casa del Guarda o Llano,Peñaflor
Casa del Guarda o Llano,Los Guerras
Casa del Guarda o Llano,La Corregidora
Casa del Guarda o Llano,Mejía
Casa del Guarda o Llano,La Estrella
Casa del Guarda o Llano,Casa del Encinarejo Bajo
Casa del Guarda o Llano,Berro II
Casa del Guarda o Llano,Los Mochales
Casa del Guarda o Llano,La Catria
Casa del Guarda o Llano,huerta del río
Casa del Guarda o Llano,La Rambla y El Acebuchal
Casa del Guarda o Llano,Cortijo Nuevo
Casa del Guarda o Llano,Manuel Nieto
Casa del Guarda o Llano,El Judío
Casa del Guarda o Llano,Alcala del Río
Casa del Guarda o Llano,Villar de Brenes
Casa del Guarda o Llano,Villaseca
Casa del Guarda o Llano,El Temple
Casa del Guarda o Llano,Casa de Mingaobez (Este)
Casa del Guarda o Llano,Itálica
Casa del Guarda o Llano,El Rodriguillo
Casa del Guarda o Llano,Haza del Olivo
Casa del Guarda o Llano,La Coscoja
Casa del Guarda o Llano,Las Sesenta
Casa del Guarda o Llano,Casa de Mingaobez
Casa del Guarda o Llano,Tostoneras
Casa del Guarda o Llano,Isla del Castillo
Casa del Guarda o Llano,La Estacada
Casa del Guarda o Llano,Cruz Verde
Casa del Guarda o Llano,El Portillo
Casa del Guarda o Llano,Las Monjas
Casa del Guarda o Llano,Tierras del Judío
Casa del Guarda o Llano,Sevilla
Casa del Guarda o Llano,Isla de la Jurada
Casa del Guarda o Llano,Villar Tesoro
Casa del Guarda o Llano,Cerro de Arriza
Casa del Guarda o Llano,Guadiato
Casa del Guarda o Llano,Los Villares
Casa del Guarda o Llano,Castillo de Azanaque
Casa del Guarda o Llano,Alcolea del Río
Casa del Guarda o Llano,Malpica
Casa del Guarda o Llano,Guadajoz
Casa del Guarda o Llano,Azanaque-Catsillejo
Casa del Guarda o Llano,Cortijo del Romero
Casa del Guarda o Llano,Las Valbuenas
Casa del Guarda o Llano,Las Ánimas
Casa del Guarda o Llano,El Sotillo
Casa del Guarda o Llano,La Umbría de Moratalla
Casa del Guarda o Llano,Juan Barba
Casa del Guarda o Llano,La Mallena
Las Delicias,Juan Barba
Las Delicias,El Pinzón
Las Delicias,Castillo de Almodóvar
Las Delicias,Cortijo de Paladés (Este) (Cortijo de Sotomayor)
Las Delicias,Arva
Las Delicias,Lora la Vieja
Las Delicias,Barranco del Picacho
Las Delicias,Álamo Alto
Las Delicias,El Tesoro
Las Delicias,La Ramblilla
Las Delicias,La Reina
Las Delicias,La Botica
Las Delicias,Doña Mencía
Las Delicias,Huerta de Belén
Las Delicias,Dehesa de Arriba
Las Delicias,Madueño
Las Delicias,Cerro de los Pesebres
Las Delicias,El Tejarillo
Las Delicias,El Mohino
Las Delicias,Madre Vieja II
Las Delicias,Dehesilla
Las Delicias,Cerro de los Vuelos
Las Delicias,La Graja
Las Delicias,La Catria Alta
Las Delicias,Azanaque-Castillejo
Las Delicias,Tarancón
Las Delicias,Alcotrista
