Source,Target,Weight
Casa del Guarda o Llano,Las Delicias,503
Casa del Guarda o Llano,El Pinzón,503
Casa del Guarda o Llano,Castillo de Almodóvar,503
Casa del Guarda o Llano,Cortijo de Paladés (Este) (Cortijo de Sotomayor),503
Casa del Guarda o Llano,Arva,503
Casa del Guarda o Llano,Lora la Vieja,503
Casa del Guarda o Llano,Barranco del Picacho,503
Casa del Guarda o Llano,Álamo Alto,503
Casa del Guarda o Llano,El Tesoro,503
Casa del Guarda o Llano,La Ramblilla,503
Casa del Guarda o Llano,La Reina,503
Casa del Guarda o Llano,La Botica,503
Casa del Guarda o Llano,Doña Mencía,503
Casa del Guarda o Llano,Huerta de Belén,503
Casa del Guarda o Llano,Dehesa de Arriba,503
Casa del Guarda o Llano,Madueño,503
Casa del Guarda o Llano,Cerro de los Pesebres,503
Casa del Guarda o Llano,El Tejarillo,503
Casa del Guarda o Llano,El Mohino,503
Casa del Guarda o Llano,Madre Vieja II,503
Casa del Guarda o Llano,Dehesilla,503
Casa del Guarda o Llano,Cerro de los Vuelos,503
Casa del Guarda o Llano,La Graja,503
Casa del Guarda o Llano,La Catria Alta,503
Casa del Guarda o Llano,Azanaque-Castillejo,503
Casa del Guarda o Llano,Tarancón,503
Casa del Guarda o Llano,Alcotrista,503
Casa del Guarda o Llano,Cortijo de San José (Norte),503
Casa del Guarda o Llano,Malpica Sur,503
Casa del Guarda o Llano,Casablanca Oeste,503
Casa del Guarda o Llano,Adelfa,503
Casa del Guarda o Llano,El Marchante,503
Casa del Guarda o Llano,La María,503
Casa del Guarda o Llano,Villacisneros,503
Casa del Guarda o Llano,Peñaflor,503
Casa del Guarda o Llano,Los Guerras,503
Casa del Guarda o Llano,La Corregidora,503
Casa del Guarda o Llano,Mejía,503
Casa del Guarda o Llano,La Estrella,503
Casa del Guarda o Llano,Casa del Encinarejo Bajo,503
Casa del Guarda o Llano,Berro II,503
Casa del Guarda o Llano,Los Mochales,503
Casa del Guarda o Llano,La Catria,503
Casa del Guarda o Llano,huerta del río,503
Casa del Guarda o Llano,La Rambla y El Acebuchal,503
Casa del Guarda o Llano,Cortijo Nuevo,503
Casa del Guarda o Llano,Manuel Nieto,503
Casa del Guarda o Llano,El Judío,503
Casa del Guarda o Llano,Alcala del Río,503
Casa del Guarda o Llano,Villar de Brenes,503
Casa del Guarda o Llano,Villaseca,503
Casa del Guarda o Llano,El Temple,503
Casa del Guarda o Llano,Casa de Mingaobez (Este),503
Casa del Guarda o Llano,Itálica,503
Casa del Guarda o Llano,El Rodriguillo,503
Casa del Guarda o Llano,Haza del Olivo,503
Casa del Guarda o Llano,La Coscoja,503
Casa del Guarda o Llano,Las Sesenta,503
Casa del Guarda o Llano,Casa de Mingaobez,503
Casa del Guarda o Llano,Tostoneras,503
Casa del Guarda o Llano,Isla del Castillo,503
Casa del Guarda o Llano,La Estacada,503
Casa del Guarda o Llano,Cruz Verde,503
Casa del Guarda o Llano,El Portillo,503
Casa del Guarda o Llano,Las Monjas,503
Casa del Guarda o Llano,Tierras del Judío,503
Casa del Guarda o Llano,Sevilla,503
Casa del Guarda o Llano,Isla de la Jurada,503
Casa del Guarda o Llano,Villar Tesoro,503
Casa del Guarda o Llano,Cerro de Arriza,503
Casa del Guarda o Llano,Guadiato,503
Casa del Guarda o Llano,Los Villares,503
Casa del Guarda o Llano,Castillo de Azanaque,503
Casa del Guarda o Llano,Alcolea del Río,503
Casa del Guarda o Llano,Malpica,503
Casa del Guarda o Llano,Guadajoz,503
Casa del Guarda o Llano,Azanaque-Catsillejo,503
Casa del Guarda o Llano,Cortijo del Romero,503
Casa del Guarda o Llano,Las Valbuenas,503
Casa del Guarda o Llano,Las Ánimas,503
Casa del Guarda o Llano,El Sotillo,503
Casa del Guarda o Llano,La Umbría de Moratalla,503
Casa del Guarda o Llano,Juan Barba,503
Casa del Guarda o Llano,La Mallena,503
Las Delicias,Juan Barba,503
Las Delicias,El Pinzón,503
Las Delicias,Castillo de Almodóvar,503
Las Delicias,Cortijo de Paladés (Este) (Cortijo de Sotomayor),503
Las Delicias,Arva,503
Las Delicias,Lora la Vieja,503
Las Delicias,Barranco del Picacho,503
Las Delicias,Álamo Alto,503
Las Delicias,El Tesoro,503
Las Delicias,La Ramblilla,503
Las Delicias,La Reina,503
Las Delicias,La Botica,503
Las Delicias,Doña Mencía,503
Las Delicias,Huerta de Belén,503
Las Delicias,Dehesa de Arriba,503
Las Delicias,Madueño,503
Las Delicias,Cerro de los Pesebres,503
Las Delicias,El Tejarillo,503
Las Delicias,El Mohino,503
Las Delicias,Madre Vieja II,503
Las Delicias,Dehesilla,503
Las Delicias,Cerro de los Vuelos,503
Las Delicias,La Graja,503
Las Delicias,La Catria Alta,503
Las Delicias,Azanaque-Castillejo,503
Las Delicias,Tarancón,503
Las Delicias,Alcotrista,503
Las Delicias,Cortijo de San José (Norte),503
Las Delicias,Malpica Sur,503
Las Delicias,Casablanca Oeste,503
Las Delicias,Adelfa,503
Las Delicias,El Marchante,503
Las Delicias,La María,503
Las Delicias,Villacisneros,503
Las Delicias,Peñaflor,503
Las Delicias,Los Guerras,503
Las Delicias,La Corregidora,503
Las Delicias,Mejía,503
Las Delicias,La Estrella,503
Las Delicias,Casa del Encinarejo Bajo,503
Las Delicias,Berro II,503
Las Delicias,Los Mochales,503
Las Delicias,La Catria,503
Las Delicias,huerta del río,503
Las Delicias,La Rambla y El Acebuchal,503
Las Delicias,Cortijo Nuevo,503
Las Delicias,Manuel Nieto,503
Las Delicias,El Judío,503
Las Delicias,Alcala del Río,503
Las Delicias,Villar de Brenes,503
Las Delicias,Villaseca,503
Las Delicias,El Temple,503
Las Delicias,Casa de Mingaobez (Este),503
Las Delicias,Itálica,503
Las Delicias,El Rodriguillo,503
Las Delicias,Haza del Olivo,503
Las Delicias,La Coscoja,503
Las Delicias,Las Sesenta,503
Las Delicias,Casa de Mingaobez,503
Las Delicias,Tostoneras,503
Las Delicias,Isla del Castillo,503
Las Delicias,La Estacada,503
Las Delicias,Cruz Verde,503
Las Delicias,El Portillo,503
Las Delicias,Las Monjas,503
Las Delicias,Tierras del Judío,503
Las Delicias,Sevilla,503
Las Delicias,Isla de la Jurada,503
Las Delicias,Villar Tesoro,503
Las Delicias,Cerro de Arriza,503
Las Delicias,Guadiato,503
Las Delicias,Los Villares,503
Las Delicias,Castillo de Azanaque,503
Las Delicias,Alcolea del Río,503
Las Delicias,Malpica,503
Las Delicias,Guadajoz,503
Las Delicias,Azanaque-Catsillejo,503
Las Delicias,Cortijo del Romero,503
Las Delicias,Las Valbuenas,503
Las Delicias,Las Ánimas,503
Las Delicias,El Sotillo,503
Las Delicias,La Umbría de Moratalla,503
Las Delicias,La Mallena,503
El Pinzón,Castillo de Almodóvar,503
El Pinzón,Cortijo de Paladés (Este) (Cortijo de Sotomayor),503
El Pinzón,Arva,503
El Pinzón,Lora la Vieja,503
El Pinzón,Barranco del Picacho,503
El Pinzón,Álamo Alto,503
El Pinzón,El Tesoro,503
El Pinzón,La Ramblilla,503
El Pinzón,La Reina,503
El Pinzón,La Botica,503
El Pinzón,Doña Mencía,503
El Pinzón,Huerta de Belén,503
El Pinzón,Dehesa de Arriba,503
El Pinzón,Madueño,503
El Pinzón,Cerro de los Pesebres,503
El Pinzón,El Tejarillo,503
El Pinzón,El Mohino,503
El Pinzón,Madre Vieja II,503
El Pinzón,Dehesilla,503
El Pinzón,Cerro de los Vuelos,503
El Pinzón,La Graja,503
El Pinzón,La Catria Alta,503
El Pinzón,Azanaque-Castillejo,503
El Pinzón,Tarancón,503
El Pinzón,Alcotrista,503
El Pinzón,Cortijo de San José (Norte),503
El Pinzón,Malpica Sur,503
El Pinzón,Casablanca Oeste,503
El Pinzón,Adelfa,503
El Pinzón,El Marchante,503
El Pinzón,La María,503
El Pinzón,Villacisneros,503
El Pinzón,Peñaflor,503
El Pinzón,Los Guerras,503
El Pinzón,La Corregidora,503
El Pinzón,Mejía,503
El Pinzón,La Estrella,503
El Pinzón,Casa del Encinarejo Bajo,503
El Pinzón,Berro II,503
El Pinzón,Los Mochales,503
El Pinzón,La Catria,503
El Pinzón,huerta del río,503
El Pinzón,La Rambla y El Acebuchal,503
El Pinzón,Cortijo Nuevo,503
El Pinzón,Manuel Nieto,503
El Pinzón,El Judío,503
El Pinzón,Alcala del Río,503
El Pinzón,Villar de Brenes,503
El Pinzón,Villaseca,503
El Pinzón,El Temple,503
El Pinzón,Casa de Mingaobez (Este),503
El Pinzón,Itálica,503
El Pinzón,El Rodriguillo,503
El Pinzón,Haza del Olivo,503
El Pinzón,La Coscoja,503
El Pinzón,Las Sesenta,503
El Pinzón,Casa de Mingaobez,503
El Pinzón,Tostoneras,503
El Pinzón,Isla del Castillo,503
El Pinzón,La Estacada,503
El Pinzón,Cruz Verde,503
El Pinzón,El Portillo,503
El Pinzón,Las Monjas,503
El Pinzón,Tierras del Judío,503
El Pinzón,Sevilla,503
El Pinzón,Isla de la Jurada,503
El Pinzón,Villar Tesoro,503
El Pinzón,Cerro de Arriza,503
El Pinzón,Guadiato,503
El Pinzón,Los Villares,503
El Pinzón,Castillo de Azanaque,503
El Pinzón,Alcolea del Río,503
El Pinzón,Malpica,503
El Pinzón,Guadajoz,503
