Source,Target
Castor,Windisch
Castor,Sulz am Neckar
Castor,Carlisle
Castor,Ehl
Castor,Saint-Ulrich
Castor,Lleida
Castor,Liverpool
Castor,Sarre-Union
Castor,Watercrook
Castor,Rudston
Castor,Miltenberg
Castor,Chartres
Castor,Lison
Castor,Terrassa
Castor,Salchenried
Castor,Andard
Castor,Fellbach
Castor,Exeter
Castor,Mannheim
Castor,Witham
Castor,Trôo
Castor,Loughor
Castor,Petronell (Carnuntum)
Castor,Lunel-Viel
Castor,Calella
Castor,Arlempdes
Castor,Gaujac
Castor,La Franqui
Castor,Seengen
Castor,Rezé
Castor,Cagny
Castor,Lyon?
Castor,Saint-Romain-en-Gal
Castor,Minorca
Castor,Capestang
Castor,Bad Kreuznach
Castor,Solothurn
Castor,Unterkirchberg
Castor,Exning
Castor,Lora del Río
Castor,Pula
Castor,Rabat
Castor,Stuttgart
Castor,Silchester
Castor,Lezoux
Castor,Carcassonne
Castor,Mainz
Castor,Aiguillon
Castor,Bambiderstroff
Castor,Les Andelys
Castor,Mainz-Kastel
Castor,Great Dunmow
Castor,Doncaster
Castor,Wasserbillig
Castor,Rommerskirchen
Castor,Southwark
Castor,Saint-Gilles-du-Gard
Castor,Mâcon
Castor,Neuss
Castor,Alcácer do Sal?
Castor,York
Castor,Martigny
Castor,Erice
Castor,Corbridge
Castor,Oderzo
Castor,Roanne
Castor,Sagunto
Castor,Bearsden
Castor,Toulouse
Castor,Mailhac
Castor,Hedelbergen
Castor,Weissenburg in Bayern
Castor,Fort Vechten
Castor,Viladamat
Castor,Voorburg
Castor,Chelmsford
Castor,Bourbon-Lancy
Castor,Baden-Baden
Castor,Grostenquin
Castor,St.Genies
Castor,Wien
Castor,Toulon
Castor,Autun
Castor,Friedberg
Castor,Sierentz
Castor,Abernethy
Castor,Passau
Castor,Gremecey
Castor,Altkalkar
Castor,Malton
Castor,Hérault
Castor,Warrington
Castor,Koblenz
Castor,Libourne
Castor,Neckarrems
Castor,Murviel-lès-Montpellier
Castor,Gruissan
Castor,Bishopton
Castor,Charente-Maritime
Castor,Rottenburg
Castor,Sicilia
Castor,Lamta
Castor,Öhringen
Castor,Faimingen
Castor,Niederbieber
Castor,Housesteads
Castor,Denia
Castor,Strasbourg
Castor,Kastell Marienfels
Castor,Baden
Castor,Saint Paulien
Castor,Koestlach
Castor,Tutbury
Castor,Civitavecchia
Castor,Salisbury
Castor,Tróia
Castor,Hüfingen
Castor,Eye
Castor,Altkirch
Castor,Villeneuve-lès-Béziers
Castor,Tanger (Tingi)
Castor,Walldürn
Castor,Brive
Castor,Lezhë
Castor,Sallèles
Castor,Adelange
Castor,Theilenhofen
Castor,Günzburg
Castor,Gheriat El-Garbia
Castor,Orlen
Castor,Montayral
Castor,Broughton
Castor,Groß-Gerau
Castor,Ospringe
Castor,Ilkley
Castor,Marseille
Castor,Altenstadt
Castor,Nîmes
Castor,Villajoyosa
Castor,Falkirk
Castor,Seville
Castor,Durhamshire
Castor,Vercelli
Castor,Nijmegen
Castor,Arles
Castor,Le Crotoy
Castor,Servian
Castor,Almodóvar del Río
Castor,Split
Castor,Nuits-Saint-Georges
Castor,Port-Vendres
Castor,Augst
Castor,Ostia Antica
Castor,Eining
Castor,Holt
Castor,Sardegna
Castor,Great Chesters
Castor,Llafranc
Castor,Golfe de Fos
Castor,Fliessem
Castor,Liberchies
Castor,Szöny
Castor,Lixus
Castor,Frankfurt am Main
Castor,Eisenberg
Castor,Sainte-Bazeille
Castor,Cap de Creus
Castor,Genève
Castor,La Buisse
Castor,Köln
Castor,Köngen
Castor,Penrith
Castor,Corfe Mullen
Castor,Burghöfe
Castor,Norton Disney
Castor,Les Rues des Vignes
Castor,Hammamet
Castor,Rheinzabern
Castor,Stanwix
Castor,Bar Hill
Castor,Llantwit Major
Castor,Andance
Castor,Chesterford
Castor,Caerhûn
Castor,Mairena del Alcor
Castor,Winchester
Castor,Heerlen
Castor,Honfleur
Castor,South Shields
Castor,Brumath
Castor,Morienval
Castor,Hüchelhoven
Castor,Lincoln
Castor,Evreux
Castor,Boscoreale
Castor,Lengnau
Castor,Hochtaunuskreis
Castor,Bordeaux
Castor,Bregenz
Castor,Caerphilly
