Source,Target,Weight
Castor,Windisch,85
Castor,Sulz am Neckar,85
Castor,Carlisle,85
Castor,Ehl,85
Castor,Saint-Ulrich,85
Castor,Lleida,85
Castor,Liverpool,85
Castor,Sarre-Union,85
Castor,Watercrook,85
Castor,Rudston,85
Castor,Miltenberg,85
Castor,Chartres,85
Castor,Lison,85
Castor,Terrassa,85
Castor,Salchenried,85
Castor,Andard,85
Castor,Fellbach,85
Castor,Exeter,85
Castor,Mannheim,85
Castor,Witham,85
Castor,Trôo,85
Castor,Loughor,85
Castor,Petronell (Carnuntum),85
Castor,Lunel-Viel,85
Castor,Calella,85
Castor,Arlempdes,85
Castor,Gaujac,85
Castor,La Franqui,85
Castor,Seengen,85
Castor,Rezé,85
Castor,Cagny,85
Castor,Lyon?,85
Castor,Saint-Romain-en-Gal,85
Castor,Minorca,85
Castor,Capestang,85
Castor,Bad Kreuznach,85
Castor,Solothurn,85
Castor,Unterkirchberg,85
Castor,Exning,85
Castor,Lora del Río,85
Castor,Pula,85
Castor,Rabat,85
Castor,Stuttgart,85
Castor,Silchester,85
Castor,Lezoux,85
Castor,Carcassonne,85
Castor,Mainz,85
Castor,Aiguillon,85
Castor,Bambiderstroff,85
Castor,Les Andelys,85
Castor,Mainz-Kastel,85
Castor,Great Dunmow,85
Castor,Doncaster,85
Castor,Wasserbillig,85
Castor,Rommerskirchen,85
Castor,Southwark,85
Castor,Saint-Gilles-du-Gard,85
Castor,Mâcon,85
Castor,Neuss,85
Castor,Alcácer do Sal?,85
Castor,York,85
Castor,Martigny,85
Castor,Erice,85
Castor,Corbridge,85
Castor,Oderzo,85
Castor,Roanne,85
Castor,Sagunto,85
Castor,Bearsden,85
Castor,Toulouse,85
Castor,Mailhac,85
Castor,Hedelbergen,85
Castor,Weissenburg in Bayern,85
Castor,Fort Vechten,85
Castor,Viladamat,85
Castor,Voorburg,85
Castor,Chelmsford,85
Castor,Bourbon-Lancy,85
Castor,Baden-Baden,85
Castor,Grostenquin,85
Castor,St.Genies,85
Castor,Wien,85
Castor,Toulon,85
Castor,Autun,85
Castor,Friedberg,85
Castor,Sierentz,85
Castor,Abernethy,85
Castor,Passau,85
Castor,Gremecey,85
Castor,Altkalkar,85
Castor,Malton,85
Castor,Hérault,85
Castor,Warrington,85
Castor,Koblenz,85
Castor,Libourne,85
Castor,Neckarrems,85
Castor,Murviel-lès-Montpellier,85
Castor,Gruissan,85
Castor,Bishopton,85
Castor,Charente-Maritime,85
Castor,Rottenburg,85
Castor,Sicilia,85
Castor,Lamta,85
Castor,Öhringen,85
Castor,Faimingen,85
Castor,Niederbieber,85
Castor,Housesteads,85
Castor,Denia,85
Castor,Strasbourg,85
Castor,Kastell Marienfels,85
Castor,Baden,85
Castor,Saint Paulien,85
Castor,Koestlach,85
Castor,Tutbury,85
Castor,Civitavecchia,85
Castor,Salisbury,85
Castor,Tróia,85
Castor,Hüfingen,85
Castor,Eye,85
Castor,Altkirch,85
Castor,Villeneuve-lès-Béziers,85
Castor,Tanger (Tingi),85
Castor,Walldürn,85
Castor,Brive,85
Castor,Lezhë,85
Castor,Sallèles,85
Castor,Adelange,85
Castor,Theilenhofen,85
Castor,Günzburg,85
Castor,Gheriat El-Garbia,85
Castor,Orlen,85
Castor,Montayral,85
Castor,Broughton,85
Castor,Groß-Gerau,85
Castor,Ospringe,85
Castor,Ilkley,85
Castor,Marseille,85
Castor,Altenstadt,85
Castor,Nîmes,85
Castor,Villajoyosa,85
Castor,Falkirk,85
Castor,Seville,85
Castor,Durhamshire,85
Castor,Vercelli,85
Castor,Nijmegen,85
Castor,Arles,85
Castor,Le Crotoy,85
Castor,Servian,85
Castor,Almodóvar del Río,85
Castor,Split,85
Castor,Nuits-Saint-Georges,85
Castor,Port-Vendres,85
Castor,Augst,85
Castor,Ostia Antica,85
Castor,Eining,85
Castor,Holt,85
Castor,Sardegna,85
Castor,Great Chesters,85
Castor,Llafranc,85
Castor,Golfe de Fos,85
Castor,Fliessem,85
Castor,Liberchies,85
Castor,Szöny,85
Castor,Lixus,85
Castor,Frankfurt am Main,85
Castor,Eisenberg,85
Castor,Sainte-Bazeille,85
Castor,Cap de Creus,85
Castor,Genève,85
Castor,La Buisse,85
Castor,Köln,85
Castor,Köngen,85
Castor,Penrith,85
Castor,Corfe Mullen,85
Castor,Burghöfe,85
Castor,Norton Disney,85
Castor,Les Rues des Vignes,85
Castor,Hammamet,85
Castor,Rheinzabern,85
Castor,Stanwix,85
Castor,Bar Hill,85
Castor,Llantwit Major,85
Castor,Andance,85
Castor,Chesterford,85
Castor,Caerhûn,85
Castor,Mairena del Alcor,85
Castor,Winchester,85
Castor,Heerlen,85
Castor,Honfleur,85
Castor,South Shields,85
Castor,Brumath,85
Castor,Morienval,85
Castor,Hüchelhoven,85
Castor,Lincoln,85
Castor,Evreux,85
Castor,Boscoreale,85
Castor,Lengnau,85
Castor,Hochtaunuskreis,85
Castor,Bordeaux,85
Castor,Bregenz,85
Castor,Caerphilly,85
Castor,Vendeuil-Caply,85
Castor,Harnes,85
Castor,Sète,85
Castor,Carmona,85
Castor,Hengistbury Head,85
Castor,Fréjus,85
Castor,Sancerre,85
Castor,Eynsford,85
Castor,Brecon,85
Castor,Beckfoot,85
Castor,Abbeville, environs,85
Castor,Deneuvre,85
Castor,La Guerche-sur-Aubois,85
Castor,Vertault,85
Castor,Sorcy,85
Castor,Saint-Etienne-Roilaye,85
Castor,Antioch,85
Castor,Moers,85
Castor,Groß-Umstadt,85
Castor,Alghero,85
Castor,Padova,85
Castor,Ergnies,85
Castor,Thérouanne,85
Castor,Tarragona,85
Castor,Bavay,85
Castor,Abergavenny,85
Castor,Saint Raphael,85
Castor,Bonn,85
Castor,Château-Thierry,85
Castor,Hofheim am Taunus,85
Castor,Neumagen,85
Castor,Xanten,85
Castor,Cosa,85
Castor,Bourdeaux,85
Castor,Arras,85
Castor,Welzheim,85
Castor,Pithiviers-le-Veil,85
Castor,Étangs de Villepey,85
Castor,Bo'ness,85
Castor,Santa Pola,85
Castor,Vorey,85
Castor,Birrens,85
Castor,Isla de Cabrera,85
Castor,Alise-Sainte-Reine,85
Castor,Montargis,85
Castor,Piercebridge,85
Castor,Montbazin,85
Castor,Mèze,85
Castor,Horbourg,85
Castor,Bishopbriggs,85
Castor,Neuhausen auf den Fildern,85
Castor,Newcastle upon Tyne,85
Castor,Northwich,85
Castor,Agde,85
Castor,Nantes,85
Castor,Eincheville,85
Castor,Badalona,85
Castor,Newport,85
Castor,Wroxeter,85
Castor,Vinkocvi,85
Castor,Bern,85
Castor,Stettfeld,85
Castor,Heuqueville,85
Castor,Bardon Mill,85
Castor,Nida-Heddernheim,85
Castor,Soissons,85
Castor,Manchester,85
Castor,Westmill,85
Castor,Bingen,85
Castor,Hettange-Grande,85
Castor,Bourges,85
Castor,Chesters,85
Castor,Banasa,85
Castor,Pîtres,85
Castor,Grand,85
Castor,Sens,85
Castor,Choloy,85
Castor,Hofheim,85
Castor,Posadas,85
Castor,Arbon,85
Castor,Saint-Romain-de-Jalionas,85
Castor,Grantham,85
Castor,Straubing,85
Castor,Olten,85
Castor,Kempten,85
Castor,Dieburg,85
Castor,Elne,85
Castor,Saint-Marcel,85
Castor,Koenigshoffen,85
Castor,Colchester,85
Castor,Boulogne-sur-Mer,85
Castor,Southampton,85
Castor,Adenau,85
Castor,Schleitheim,85
Castor,Caudebec-lès-Elbeuf,85
Castor,Castlecary,85
Castor,Sea Mills,85
Castor,Zofingen,85
Castor,Reus,85
Castor,Branston,85
Castor,San Fernando (Cádiz),85
Castor,winterthur,85
Castor,Cavalaire,85
Castor,Habsheim,85
Castor,Metz,85
Castor,Worms,85
Castor,Lelling,85
Castor,Rubí,85
Castor,Alicante,85
Castor,Tours,85
Castor,Fishbourne,85
Castor,San Potito,85
Castor,Rosbach von der Höhe,85
Castor,Sarrebourg,85
Castor,Ungersheim,85
Castor,Scole,85
Castor,Weißenthurm,85
Castor,Ubbergen,85
Castor,Coria del Río,85
Castor,Magalas,85
Castor,Forêt de la Compiègne,85
Castor,St. Albans,85
Castor,Dalswinton,85
Castor,Umbria,85
Castor,Winterton,85
Castor,Harfleur,85
Castor,Cahors,85
Castor,Daventry,85
Castor,Alzey,85
Castor,Rocester,85
Castor,Bad Ems,85
Castor,Tayside,85
Castor,Ptuj,85
Castor,Gilsland,85
Castor,Acs-Vaspuszta,85
Castor,Saint-Satur,85
Castor,Bad Wimpfen,85
Castor,Perpignan,85
Castor,Ardoch house,85
Castor,Amiens,85
Castor,Antibes,85
Castor,Hornachuelos,85
Castor,Nyon,85
Castor,Hanau,85
Castor,Puget-sur-Argens,85
Castor,Heptonstall,85
Castor,Peyrestortes,85
Castor,Vicenza,85
Castor,Athens,85
Castor,Stoke Prior,85
Castor,Levroux,85
Castor,Valencia,85
Castor,Bishop Auckland,85
Castor,Forbach,85
Castor,Chicester,85
Castor,Lansargues,85
Castor,Sauvian,85
Castor,Santiponce,85
Castor,Montmaurin,85
Castor,Regensburg,85
Castor,Sainte Catherine,85
Castor,Budapest,85
Castor,Calpe,85
Castor,Caernarfon,85
Castor,Barcelona,85
Castor,Vendres,85
Castor,Neuenheim,85
Castor,Etaples,85
Castor,Aachen,85
Castor,Toft Newton,85
Castor,Gelligaer,85
Castor,Écija,85
Castor,Hexham,85
Castor,San Juan Despí,85
Castor,Leicester,85
Castor,Poitiers,85
Castor,Kösching,85
Castor,Périgueux,85
Castor,Steene,85
Castor,Großkrotzenburg,85
Castor,Cap Corse,85
Castor,Caerwent,85
Castor,Roma,85
Castor,Alphen aan den Rijn,85
Castor,Bury Saint Edmunds,85
Castor,Musselburgh,85
Castor,Mandeure,85
Castor,Lacroix-Saint-Ouen,85
Castor,Lectoure,85
Castor,Godmanchester,85
Castor,Sabadell,85
Castor,Southend,85
Castor,Holybourne,85
Castor,Sidi Ali ben ahmed (Thamusida),85
Castor,Naix-aux-forges,85
Castor,Haute-Goulaine,85
Castor,Dieulouard,85
Castor,Fuente Palmera,85
Castor,Ensch,85
Castor,Souk-el-Arba,85
Castor,Volubilis,85
Castor,Alexandria,85
Castor,Dampierre-en-Burly,85
Castor,Le Barroux,85
Castor,Liffol-le-Grand,85
Castor,Ilchester,85
Castor,London,85
Castor,Wiesbaden,85
Castor,Rouen,85
Castor,Rebecques,85
Castor,Schwaigern,85
Castor,Tortona,85
Castor,Cambrai,85
Castor,Trier,85
Castor,Manta Rota,85
Castor,West Woodburn,85
Castor,Vienne,85
Castor,Fos-Sur-Mer,85
Castor,Saintes,85
Castor,Edinburgh,85
Castor,Freisen,85
Castor,Aldborough,85
Castor,Palau-del-Vidre,85
Castor,Risstissen,85
Castor,Titelberg,85
Castor,Angers,85
Castor,Brachy,85
Castor,Maraussan,85
Castor,Beauvais,85
Castor,Rodez,85
Castor,Palma del Río,85
Castor,Chester,85
Castor,Ladenburg (Lopodunum),85
Castor,Selby,85
Castor,Sant Boi de Llobregat,85
Castor,Agen,85
Castor,Argentona,85
Castor,Tác,85
Castor,Hainstadt,85
Castor,Butzbach,85
Castor,Usk,85
